island,division_type,name,date,value
Moloka'i,moku,Kona,2021-10,0.8720139257652068
Moloka'i,moku,Koʻolau,2021-10,2.2606472609567323
Oʻahu,moku,Koʻolauloa,2021-10,3.9071512730616704
Oʻahu,moku,Waialua,2021-10,3.15091914850366
Oʻahu,moku,Waiʻanae,2021-10,1.421599329637647
Oʻahu,moku,Ko'olaupoko,2021-10,2.8057566281271806
Oʻahu,moku,ʻEwa,2021-10,2.279044810370458
Oʻahu,moku,Kona,2021-10,3.1525088514439163
Lana'i,moku,Lāhainā,2021-10,0.43191968217689236
Hawaiʻi,moku,Hilo,2021-10,19.531603990823577
Hawaiʻi,moku,Puna,2021-10,11.594259760071127
Hawaiʻi,moku,Hāmākua,2021-10,4.4374693231388225
Hawaiʻi,moku,Kohala,2021-10,2.6605718293410736
Hawaiʻi,moku,Kona,2021-10,0.5032194060412521
Hawaiʻi,moku,Kaʻū,2021-10,2.0837233331097784
Kahoʻolawe,moku,Honuaʻula,2021-10,0.322548689630758
Maui,moku,Kāʻanapali,2021-10,3.60265825220346
Maui,moku,Pūʻali Komohana,2021-10,2.071565800683685
Maui,moku,Hāmākualoa,2021-10,5.3033113331851665
Maui,moku,Hāmākuapoko,2021-10,2.865706412944857
Maui,moku,Lāhainā,2021-10,2.6036852905475443
Maui,moku,Koʻolau,2021-10,11.475897022204169
Maui,moku,Kula,2021-10,0.6763385001979502
Maui,moku,Hāna,2021-10,7.931222841180123
Maui,moku,Kipahulu,2021-10,15.128697640473513
Maui,moku,Kahikinui,2021-10,0.3758671718640711
Maui,moku,Kaupō,2021-10,3.348281124864455
Ni'ihau,moku,Kona,2021-11,
Kauaʻi,moku,Koʻolau,2021-11,1.4999106000792621
Kauaʻi,moku,Halele'a,2021-11,4.435686275715416
Kauaʻi,moku,Nāpali,2021-11,1.8973930504780652
Kauaʻi,moku,Kona,2021-11,1.775728911191429
Kauaʻi,moku,Puna,2021-11,3.4260106430767063
Moloka'i,moku,Kona,2021-11,0.8125111493241953
Moloka'i,moku,Koʻolau,2021-11,1.5521394146565506
Oʻahu,moku,Koʻolauloa,2021-11,2.4657814385884245
Oʻahu,moku,Waialua,2021-11,1.8629071565301356
Oʻahu,moku,Waiʻanae,2021-11,1.2692057700645285
Oʻahu,moku,Ko'olaupoko,2021-11,1.871939613165443
Oʻahu,moku,ʻEwa,2021-11,1.4888978074481871
Oʻahu,moku,Kona,2021-11,1.7004374380983822
Lana'i,moku,Lāhainā,2021-11,0.5102149366920578
Hawaiʻi,moku,Hilo,2021-11,4.902209434967486
Hawaiʻi,moku,Puna,2021-11,4.713506430095223
Hawaiʻi,moku,Hāmākua,2021-11,1.151750914256877
Hawaiʻi,moku,Kohala,2021-11,0.7523221491854689
Hawaiʻi,moku,Kona,2021-11,0.5365484493103494
Hawaiʻi,moku,Kaʻū,2021-11,2.950728179652589
Kahoʻolawe,moku,Honuaʻula,2021-11,0.48997285688093795
Maui,moku,Kāʻanapali,2021-11,1.4171444530962896
Maui,moku,Pūʻali Komohana,2021-11,0.9171525914666413
Maui,moku,Hāmākualoa,2021-11,2.5763306253175005
Maui,moku,Hāmākuapoko,2021-11,1.3057183472973917
Maui,moku,Lāhainā,2021-11,0.8744030273135606
Maui,moku,Koʻolau,2021-11,5.214914066382923
Maui,moku,Kula,2021-11,0.7431322306778692
Maui,moku,Hāna,2021-11,4.407201643517006
Maui,moku,Kipahulu,2021-11,5.2260417782598605
Maui,moku,Kahikinui,2021-11,0.8663910144374268
Maui,moku,Kaupō,2021-11,1.8538332671849862
Ni'ihau,moku,Kona,2021-12,
Kauaʻi,moku,Koʻolau,2021-12,10.800624308828485
Kauaʻi,moku,Halele'a,2021-12,20.135785150234405
Kauaʻi,moku,Nāpali,2021-12,7.988649465691789
Kauaʻi,moku,Kona,2021-12,10.198526849102878
Kauaʻi,moku,Puna,2021-12,15.463057261485346
Moloka'i,moku,Kona,2021-12,8.060969690432533
Moloka'i,moku,Koʻolau,2021-12,16.197263565255952
Oʻahu,moku,Koʻolauloa,2021-12,21.963799643657683
Oʻahu,moku,Waialua,2021-12,20.372077274078272
Oʻahu,moku,Waiʻanae,2021-12,13.908113655228098
Oʻahu,moku,Ko'olaupoko,2021-12,18.705743269433093
Oʻahu,moku,ʻEwa,2021-12,17.581508946010082
Oʻahu,moku,Kona,2021-12,20.789334984909654
Lana'i,moku,Lāhainā,2021-12,6.332153898128506
Hawaiʻi,moku,Hilo,2021-12,18.54534572343042
Hawaiʻi,moku,Puna,2021-12,19.365592253690288
Hawaiʻi,moku,Hāmākua,2021-12,6.368943609880197
Hawaiʻi,moku,Kohala,2021-12,5.660540333722464
Hawaiʻi,moku,Kona,2021-12,4.288638582378759
Hawaiʻi,moku,Kaʻū,2021-12,9.940374644603814
Kahoʻolawe,moku,Honuaʻula,2021-12,5.912047078305204
Maui,moku,Kāʻanapali,2021-12,16.779378076258066
Maui,moku,Pūʻali Komohana,2021-12,11.516072146727629
Maui,moku,Hāmākualoa,2021-12,19.1512513493777
Maui,moku,Hāmākuapoko,2021-12,12.337492346469382
Maui,moku,Lāhainā,2021-12,12.036981051444783
Maui,moku,Koʻolau,2021-12,27.194134476381738
Maui,moku,Kula,2021-12,8.883225927066379
Maui,moku,Hāna,2021-12,23.87756987780573
Maui,moku,Kipahulu,2021-12,26.845556135840162
Maui,moku,Kahikinui,2021-12,9.524924211732769
Maui,moku,Kaupō,2021-12,12.310281224972892
Ni'ihau,moku,Kona,2022-01,
Kauaʻi,moku,Koʻolau,2022-01,2.5746988064387524
Kauaʻi,moku,Halele'a,2022-01,4.615312851180724
Kauaʻi,moku,Nāpali,2022-01,3.4117194090973
Kauaʻi,moku,Kona,2022-01,4.275625242029173
Kauaʻi,moku,Puna,2022-01,4.558653235277131
Moloka'i,moku,Kona,2022-01,0.5890632648954971
Moloka'i,moku,Koʻolau,2022-01,1.141567431158259
Oʻahu,moku,Koʻolauloa,2022-01,6.026083395597449
Oʻahu,moku,Waialua,2022-01,6.150869291030583
Oʻahu,moku,Waiʻanae,2022-01,6.178919140469723
Oʻahu,moku,Ko'olaupoko,2022-01,6.111857259931116
Oʻahu,moku,ʻEwa,2022-01,5.201466808468225
Oʻahu,moku,Kona,2022-01,6.221846949306312
Lana'i,moku,Lāhainā,2022-01,0.3824832560778896
Hawaiʻi,moku,Hilo,2022-01,2.1469745982888386
Hawaiʻi,moku,Puna,2022-01,2.488496016949425
Hawaiʻi,moku,Hāmākua,2022-01,0.9300109572563307
Hawaiʻi,moku,Kohala,2022-01,0.9300597850165733
Hawaiʻi,moku,Kona,2022-01,0.5584484716563667
Hawaiʻi,moku,Kaʻū,2022-01,1.1444295963409645
Kahoʻolawe,moku,Honuaʻula,2022-01,0.39166819249696216
Maui,moku,Kāʻanapali,2022-01,0.9926667297983601
Maui,moku,Pūʻali Komohana,2022-01,0.7589007664994497
Maui,moku,Hāmākualoa,2022-01,1.2219310835106045
Maui,moku,Hāmākuapoko,2022-01,0.8221051809247052
Maui,moku,Lāhainā,2022-01,0.7321095014411448
Maui,moku,Koʻolau,2022-01,2.1210943314529214
Maui,moku,Kula,2022-01,0.5665720675889676
Maui,moku,Hāna,2022-01,1.6523949918523542
Maui,moku,Kipahulu,2022-01,2.124690817107683
Maui,moku,Kahikinui,2022-01,0.6257052399081712
Maui,moku,Kaupō,2022-01,1.0506799095879076
Ni'ihau,moku,Kona,2022-02,
Kauaʻi,moku,Koʻolau,2022-02,0.7938727793519481
Kauaʻi,moku,Halele'a,2022-02,1.5040292962763968
Kauaʻi,moku,Nāpali,2022-02,0.7619610781074242
Kauaʻi,moku,Kona,2022-02,0.5512658125726088
Kauaʻi,moku,Puna,2022-02,0.9339722949515175
Moloka'i,moku,Kona,2022-02,0.9717144238029257
Moloka'i,moku,Koʻolau,2022-02,1.999827476420807
Oʻahu,moku,Koʻolauloa,2022-02,1.687984043623197
Oʻahu,moku,Waialua,2022-02,1.0087831326008585
Oʻahu,moku,Waiʻanae,2022-02,0.6551909089668625
Oʻahu,moku,Ko'olaupoko,2022-02,1.5875406298105144
Oʻahu,moku,ʻEwa,2022-02,0.7771688037190039
Oʻahu,moku,Kona,2022-02,1.3734439704249992
Lana'i,moku,Lāhainā,2022-02,0.5956600944491838
Hawaiʻi,moku,Hilo,2022-02,4.401137971652035
Hawaiʻi,moku,Puna,2022-02,4.7267945678178656
Hawaiʻi,moku,Hāmākua,2022-02,1.393557859152593
Hawaiʻi,moku,Kohala,2022-02,1.077596136070849
Hawaiʻi,moku,Kona,2022-02,0.6015334179696871
Hawaiʻi,moku,Kaʻū,2022-02,2.222977174819494
Kahoʻolawe,moku,Honuaʻula,2022-02,0.5491553645511305
Maui,moku,Kāʻanapali,2022-02,1.3412294545873522
Maui,moku,Pūʻali Komohana,2022-02,0.935161905480061
Maui,moku,Hāmākualoa,2022-02,1.9502037461106174
Maui,moku,Hāmākuapoko,2022-02,1.1734834063128543
Maui,moku,Lāhainā,2022-02,0.9577793601074116
Maui,moku,Koʻolau,2022-02,3.4939726787295617
Maui,moku,Kula,2022-02,0.7344463101548411
