division,date,value
Oʻahu::Koʻolau,2022-11,73.58457000088637
Oʻahu::Waianae,2022-11,75.03991841491842
Hawaiʻi::Hawaiʻi Mauka,2022-12,50.2040577092799
Hawaiʻi::Hilo,2022-12,65.01123816316621
Hawaiʻi::Kaʻu,2022-12,64.68669802590993
Hawaiʻi::Kona,2022-12,62.91074829591019
Hawaiʻi::Leeward Kohala,2022-12,68.3841065846276
Hawaiʻi::Windward Kohala,2022-12,64.33499520958084
Kauaʻi::Leeward Kauaʻi,2022-12,68.6566305869413
Kauaʻi::Windward Kauaʻi,2022-12,69.42202439065446
Maui::Leeward Maui Nui,2022-12,70.19368993593167
Maui::Windward Maui Nui,2022-12,67.55165629301574
Oʻahu::Koʻolau,2022-12,72.17871886633576
Oʻahu::Waianae,2022-12,73.2412805944056
Hawaiʻi::Hawaiʻi Mauka,2023-01,50.417135864413424
Hawaiʻi::Hilo,2023-01,64.19027406822872
Hawaiʻi::Kaʻu,2023-01,63.90215705793281
Hawaiʻi::Kona,2023-01,62.28057087008821
Hawaiʻi::Leeward Kohala,2023-01,67.29880786979606
Hawaiʻi::Windward Kohala,2023-01,63.5742634730539
Kauaʻi::Leeward Kauaʻi,2023-01,66.92918301919808
Kauaʻi::Windward Kauaʻi,2023-01,67.70859227713439
Maui::Leeward Maui Nui,2023-01,68.50373064602243
Maui::Windward Maui Nui,2023-01,66.19003194386258
Oʻahu::Koʻolau,2023-01,70.98338891597234
Oʻahu::Waianae,2023-01,71.91842584498835
Hawaiʻi::Hawaiʻi Mauka,2023-02,47.41607434707286
Hawaiʻi::Hilo,2023-02,63.433727388612354
Hawaiʻi::Kaʻu,2023-02,63.128102041388594
Hawaiʻi::Kona,2023-02,61.3051072574178
Hawaiʻi::Leeward Kohala,2023-02,66.99321627053044
Hawaiʻi::Windward Kohala,2023-02,62.74501856287425
Kauaʻi::Leeward Kauaʻi,2023-02,68.3399803769623
Kauaʻi::Windward Kauaʻi,2023-02,69.09109926272556
Maui::Leeward Maui Nui,2023-02,68.794811131874
Maui::Windward Maui Nui,2023-02,65.91629249207014
Oʻahu::Koʻolau,2023-02,70.07206612302784
Oʻahu::Waianae,2023-02,71.67408216783217
Hawaiʻi::Hawaiʻi Mauka,2023-03,49.95195040532148
Hawaiʻi::Hilo,2023-03,64.94732608959572
Hawaiʻi::Kaʻu,2023-03,64.65323067971511
Hawaiʻi::Kona,2023-03,62.89675721732157
Hawaiʻi::Leeward Kohala,2023-03,68.34146342976231
Hawaiʻi::Windward Kohala,2023-03,64.29580479041917
Kauaʻi::Leeward Kauaʻi,2023-03,68.46736826317368
Kauaʻi::Windward Kauaʻi,2023-03,69.21859345542688
Maui::Leeward Maui Nui,2023-03,69.57605445808863
Maui::Windward Maui Nui,2023-03,66.92309645999163
Oʻahu::Koʻolau,2023-03,71.75239651657508
Oʻahu::Waianae,2023-03,72.98975815850815
Hawaiʻi::Hawaiʻi Mauka,2023-04,49.09067433726669
Hawaiʻi::Hilo,2023-04,64.66542278742261
Hawaiʻi::Kaʻu,2023-04,64.3594505355841
Hawaiʻi::Kona,2023-04,62.56513632718524
Hawaiʻi::Leeward Kohala,2023-04,68.14718838386345
Hawaiʻi::Windward Kohala,2023-04,63.98736077844312
Kauaʻi::Leeward Kauaʻi,2023-04,68.62767598240177
Kauaʻi::Windward Kauaʻi,2023-04,69.36775897185564
Maui::Leeward Maui Nui,2023-04,70.0625
Maui::Windward Maui Nui,2023-04,67.21242593811718
Oʻahu::Koʻolau,2023-04,71.53591727973765
Oʻahu::Waianae,2023-04,73.08527826340327
Hawaiʻi::Hawaiʻi Mauka,2023-05,49.92910326708724
Hawaiʻi::Hilo,2023-05,65.33048212334589
Hawaiʻi::Kaʻu,2023-05,65.01998976501599
Hawaiʻi::Kona,2023-05,63.14309091820369
Hawaiʻi::Leeward Kohala,2023-05,68.90955130749765
Hawaiʻi::Windward Kohala,2023-05,64.65418802395209
Kauaʻi::Leeward Kauaʻi,2023-05,69.68016573342666
Kauaʻi::Windward Kauaʻi,2023-05,70.47222007137086
Maui::Leeward Maui Nui,2023-05,70.71411839295249
Maui::Windward Maui Nui,2023-05,67.62460051469267
Oʻahu::Koʻolau,2023-05,72.10584116291437
Oʻahu::Waianae,2023-05,73.79447115384616
Hawaiʻi::Hawaiʻi Mauka,2023-06,51.86761289347236
Hawaiʻi::Hilo,2023-06,66.3974520456477
Hawaiʻi::Kaʻu,2023-06,66.04526596937917
Hawaiʻi::Kona,2023-06,64.1691259021652
Hawaiʻi::Leeward Kohala,2023-06,69.85887647000447
Hawaiʻi::Windward Kohala,2023-06,65.70397065868264
Kauaʻi::Leeward Kauaʻi,2023-06,71.50861695080492
Kauaʻi::Windward Kauaʻi,2023-06,72.31471056086723
Maui::Leeward Maui Nui,2023-06,72.60476508275494
Maui::Windward Maui Nui,2023-06,69.51632279011312
Oʻahu::Koʻolau,2023-06,73.96963470572594
Oʻahu::Waianae,2023-06,75.68876748251748
Hawaiʻi::Hawaiʻi Mauka,2023-07,55.95513066714608
Hawaiʻi::Hilo,2023-07,69.1308797195581
Hawaiʻi::Kaʻu,2023-07,68.85170279288879
Hawaiʻi::Kona,2023-07,67.29253207698477
Hawaiʻi::Leeward Kohala,2023-07,72.11220351808663
Hawaiʻi::Windward Kohala,2023-07,68.53810838323353
Kauaʻi::Leeward Kauaʻi,2023-07,73.6746553469653
Kauaʻi::Windward Kauaʻi,2023-07,74.51547855507675
